ECOREGION_CODE,ECO_NAME,Shrubland_CF,Protected_shrubland_CF,Grassland_CF,Protected_grassland_CF,Tundra_CF,Forest_CF,Protected_forest_CF,Pasture_CF,Protected_pasture_CF,Irrigated_crop_CF,Rainfed_crop_CF,Rockicedesert_CF,Urban_CF
NA1107,Beringia upland tundra,0,0,0,0,0,9.81E-12,0,1.17E-11,0,1.13E-11,1.02E-11,0,1.28E-11
NA1108,Brooks-British Range tundra,0,0,0,0,0,2.59E-12,0,3.57E-12,0,3.45E-12,2.99E-12,0,4.07E-12
NA1109,Davis Highlands tundra,0,0,0,0,0,1.64E-12,0,2.32E-12,0,2.25E-12,1.94E-12,0,2.65E-12
NA1110,High Arctic tundra,0,0,0,0,0,7.40E-13,0,8.74E-13,0,8.59E-13,7.95E-13,0,9.41E-13
NA1111,Interior Yukon-Alaska alpine tundra,0,0,0,0,0,2.79E-12,0,3.74E-12,0,3.64E-12,3.19E-12,0,4.23E-12
NA1112,Kalaallit Nunaat high arctic tundra,0,0,0,0,0,7.41E-13,0,9.26E-13,0,9.26E-13,8.45E-13,0,1.02E-12
NA1113,Kalaallit Nunaat low arctic tundra,0,0,0,0,0,9.60E-13,0,1.80E-12,0,1.77E-12,1.42E-12,0,2.20E-12
NA1114,Low Arctic tundra,0,0,0,0,0,1.01E-12,0,1.18E-12,0,1.15E-12,1.06E-12,0,1.29E-12
NA1115,Middle Arctic tundra,0,0,0,0,0,7.78E-13,0,8.69E-13,0,8.48E-13,7.97E-13,0,9.20E-13
NA1116,Ogilvie-MacKenzie alpine tundra,0,0,0,0,0,3.05E-12,0,4.04E-12,0,3.96E-12,3.49E-12,0,4.58E-12
NA1117,Pacific Coastal Mountain icefields and tundra,0,0,0,0,0,7.68E-12,0,1.04E-11,0,1.02E-11,8.94E-12,0,1.18E-11
NA1118,Torngat Mountain tundra,0,0,0,0,0,3.38E-12,0,5.86E-12,0,5.73E-12,4.66E-12,0,7.06E-12
NA1201,California coastal sage and chaparral,0,0,0,0,0,5.12E-10,0,7.98E-10,0,7.91E-10,6.91E-10,0,8.71E-10
NA1202,California interior chaparral and woodlands,0,0,0,0,0,4.49E-10,0,6.83E-10,0,6.77E-10,5.95E-10,0,7.43E-10
NA1203,California montane chaparral and woodlands,0,0,0,0,0,1.05E-09,0,1.64E-09,0,1.63E-09,1.42E-09,0,1.80E-09
NA1301,Baja California desert,0,0,0,0,0,6.20E-11,0,8.84E-11,0,8.78E-11,7.89E-11,0,9.49E-11
NA1302,Central Mexican matorral,0,0,0,0,0,5.45E-10,0,8.11E-10,0,8.05E-10,7.12E-10,0,8.80E-10
NA1303,Chihuahuan desert,0,0,0,0,0,3.61E-11,0,4.87E-11,0,4.84E-11,4.42E-11,0,5.17E-11
NA1304,Colorado Plateau shrublands,0,0,0,0,0,2.09E-11,0,2.83E-11,0,2.81E-11,2.55E-11,0,3.02E-11
NA1305,Great Basin shrub steppe,0,0,0,0,0,1.78E-11,0,2.42E-11,0,2.41E-11,2.18E-11,0,2.59E-11
NA1306,Gulf of California xeric scrub,0,0,0,0,0,6.21E-10,0,7.61E-10,0,7.58E-10,7.10E-10,0,7.96E-10
